,company_name,stars,sector,Years,Reviews,Salaries,Interviews,jobs
0,TCS,3.8,Public,55,57900,367100,4900,1800
1,Accenture,4.1,Public,34,37100,251000,3300,9700
2,Cognizant,3.9,Private,29,33900,224600,3000,402
3,ICICI,4.0,Public,29,27700,91700,1500,60
4,Wipro,3.9,Public,78,27200,194200,2900,358
5,HDFC,4.0,Public,29,26800,99200,1300,172
6,Infosys,3.9,Public,42,25300,181400,4200,729
7,Capgemini,3.9,Public,56,23600,157000,2000,1100
8,Tech,3.7,Public,37,22100,127800,1900,429
9,Genpact,4.0,Public,26,21400,85500,1600,826
10,HCLTech,3.8,Public,32,20800,142900,2000,449
11,Axis,3.9,Public,30,18200,67800,901,80
12,Concentrix,4.0,Public,40,17,60600,806,51
13,IBM,4.1,Public,112,17,122200,1200,2800
14,Reliance,4.0,Public,16,16400,61000,933,128
15,Amazon,4.2,Public,29,16100,85000,2700,207
16,Larsen,4.0,Public,85,15700,64099,847,148
17,HDB,4.0,Private,16,14800,36500,481,94
18,Vodafone,4.2,Public,5,13800,52300,367,73
19,Teleperformance,3.6,Private,45,13500,47400,904,61
20,Reliance,4.0,Private,17,13400,54300,928,86
21,Deloitte,4.0,Private,178,11400,71500,1300,124
22,Kotak,3.9,Public,20,11400,48800,588,110
23,BYJU,3.3,Private,12,10800,42500,1600,634
24,Reliance,4.1,Public,50,10700,54200,745,36
25,Bharti,4.1,Public,28,10100,38600,457,172
26,Tata,4.2,Public,78,9400,38500,593,2
27,Flipkart,4.1,Public,16,8100,36200,865,114
28,WNS,3.6,Private,27,7800,33000,585,161
29,Ernst,3.7,Private,21,7700,58400,732,680
30,IndusInd,3.8,Public,29,7500,34600,346,140
31,Mahindra,4.2,Public,78,7400,33300,391,31
32,DXC,3.9,Public,6,6800,59900,434,81
33,Infosys,3.9,Private,21,6600,31000,560,51
34,Maruti,4.2,Public,40,6300,23800,380,193
35,IDFC,4.0,Public,5,6200,28400,328,61
36,Hinduja,4.0,Public,23,6100,20000,145,70
37,Bajaj,4.0,Public,16,5900,23100,279,115
38,HSBC,4.1,Private,21,5900,33700,298,16
39,Conneqt,3.7,Private,21,5800,17100,234,60
40,Ericsson,4.3,Private,147,5600,28800,221,66
41,Mphasis,3.6,Public,25,5600,38000,391,260
42,iEnergizer,4.2,Private,23,5300,12200,227,114
43,Startek,3.3,Public,6,5200,15800,213,1
44,PwC,3.7,Private,143,5200,36700,629,224
45,Dr,4.2,Public,39,5200,17700,210,54
46,Yes,3.9,Public,19,5200,27200,243,25
47,HDFC,4.1,Public,1,5100,19500,273,69
48,Asian,4.2,Public,81,5100,20600,364,89
49,Cipla,4.1,Public,88,5100,18100,299,35
50,Sutherland,3.8,Private,37,5100,20000,282,82
51,NTT,4.0,Private,35,4800,41500,342,655
52,Jana,3.8,Public,17,4800,14000,141,42
53,ICICI,4.1,Public,23,4800,16500,226,158
54,Udaan,4.0,Private,7,4800,17700,265,42
55,EXL,3.9,Private,24,4700,20500,345,197
56,HCL,3.8,Private,47,4700,35100,228,2
57,Lupin,4.1,Public,55,4700,16800,207,7
58,UltraTech,4.2,Public,40,4600,19700,258,4
59,KPMG,3.7,Private,36,4500,30000,483,467
60,Bajaj,4.1,Private,36,4400,17800,180,80
61,L,3.9,Public,27,4400,40400,357,86
